prediction
1327.2527
1340.099
1356.182
1371.8419
1383.0771
1387.4812
1385.2476
1378.7739
1371.2643
1365.255
1361.8918
1361.1748
1362.7216
1366.3339
1371.9313
1379.0085
1386.2136
1391.6083
1393.6511
1392.3196
1389.5137
1388.2224
1390.713
1396.7404
1402.956
